lat_lon,flag_gfw,lat,lon,fishing_hours
-1.0_234.0,SLV,-1.0,234.0,8.8535
-1.0_234.0,TWN,-1.0,234.0,1209.8290000000006
-1.0_235.0,CHN,-1.0,235.0,124.81595000000006
-1.0_235.0,FJI,-1.0,235.0,22.93425
-1.0_235.0,JPN,-1.0,235.0,54.1857
-1.0_235.0,KOR,-1.0,235.0,34.75633333333334
-1.0_235.0,SLV,-1.0,235.0,3.3514999999999997
-1.0_235.0,TWN,-1.0,235.0,418.79460000000006
-1.0_236.0,CHN,-1.0,236.0,148.86577500000004
-1.0_236.0,KOR,-1.0,236.0,58.745300000000015
-1.0_236.0,SLV,-1.0,236.0,10.0426
-1.0_236.0,TWN,-1.0,236.0,167.0808
-1.0_237.0,CHN,-1.0,237.0,236.54734999999994
-1.0_237.0,JPN,-1.0,237.0,0.1333
-1.0_237.0,KOR,-1.0,237.0,85.01575
-1.0_237.0,SLV,-1.0,237.0,2.9687
-1.0_237.0,TWN,-1.0,237.0,94.58579999999999
-1.0_238.0,CHN,-1.0,238.0,214.93537499999994
-1.0_238.0,JPN,-1.0,238.0,0.9299
-1.0_238.0,KOR,-1.0,238.0,23.777500000000003
-1.0_238.0,SLV,-1.0,238.0,3.4497
-1.0_239.0,CHN,-1.0,239.0,227.21584999999993
-1.0_239.0,KOR,-1.0,239.0,60.52159999999999
-1.0_240.0,CHN,-1.0,240.0,240.16204999999994
-1.0_240.0,KOR,-1.0,240.0,4.7749
-1.0_240.0,TWN,-1.0,240.0,10.8737
-1.0_241.0,CHN,-1.0,241.0,151.26556
-1.0_241.0,TWN,-1.0,241.0,8.25825
-1.0_242.0,CHN,-1.0,242.0,143.93289999999996
-1.0_242.0,TWN,-1.0,242.0,10.19585
-1.0_243.0,CHN,-1.0,243.0,124.31486666666667
-1.0_244.0,CHN,-1.0,244.0,182.28452
-1.0_245.0,CHN,-1.0,245.0,333.828375
-1.0_246.0,CHN,-1.0,246.0,313.6770999999999
-1.0_246.0,ESP,-1.0,246.0,15.846800000000002
-1.0_247.0,CHN,-1.0,247.0,353.7979250000001
-1.0_247.0,ECU,-1.0,247.0,195.75870000000003
-1.0_247.0,ESP,-1.0,247.0,8.365200000000002
-1.0_247.0,FJI,-1.0,247.0,11.5138
